product_category,product_name,product_short_desc,product_ad_desc,product_price,product_color,product_age,product_avg_rev
Living room,EKEBOL,officiis expedita recusandae,Est soluta quo placeat nemo aut assumenda.,607,Skiftebo dark gray,9,1
Kitchen,FRIHETEN,et est error,Ipsum maxime corporis.,528,Bomstad black,22,1
Bed room,DELAKTIG,qui temporibus eum,Voluptas qui enim aut dolor accusamus non qui sed.,57,white,23,4
Living room,BRATHULT,eum est velit,Necessitatibus aut minus eos atque laudantium.,58,pink,29,3
Bed room,BALKARP,voluptatem architecto distinctio,Perferendis sint eligendi quo sit et ut nihil.,96,Hyllie dark gray,13,5
Bed room,BALKARP,velit delectus fuga,Nemo debitis a ipsa vitae distinctio ut doloremque sint.,587,gray,14,5
Bed room,FRIHETEN,et necessitatibus laborum,Maxime vel blanditiis iste et.,570,red,18,5
Kitchen,BALKARP,explicabo quia corrupti,Sunt distinctio hic.,614,Hyllie dark gray,23,2
Rest room,EKEBOL,cupiditate quam sequi,Consequatur saepe eligendi ratione quia dolor numquam sequi quae qui.,162,Hyllie dark gray,4,3
Lobby,FRIHETEN,rerum sed facere,Ad tenetur commodi corrupti.,457,white,6,1
Rest room,DELAKTIG,earum quae qui,Quisquam et omnis in nostrum expedita animi.,139,original red,26,1
Rest room,EKEBOL,cupiditate soluta quia,Voluptas nesciunt assumenda.,642,Skiftebo dark gray,27,2
Living room,BRATHULT,velit et est,Itaque maiores quam ut accusamus.,655,blue,5,4
Kitchen,BRATHULT,a est ut,Nesciunt enim tenetur.,542,pink,14,2
Living room,EKEBOL,vel eum neque,Rerum iste at.,451,red,22,5
Rest room,FRIHETEN,molestiae ut et,Dolores nihil autem dignissimos odio.,170,gray,1,4
Lobby,BRATHULT,at sunt et,Nihil perspiciatis quas modi qui.,32,Hyllie beige,17,5
Living room,BALKARP,quibusdam deserunt et,Ex exercitationem officiis et doloremque itaque veritatis.,292,original red,3,4
Lobby,DELAKTIG,et et dolores,Enim cupiditate perspiciatis sint.,103,Hyllie dark gray,23,5
Rest room,BALKARP,repellat possimus libero,Veniam non rem sed autem.,446,gray,18,5
Rest room,EKEBOL,molestiae eos aspernatur,Fugit enim dignissimos qui.,350,white,24,5
Rest room,BALKARP,officia suscipit tempora,Autem id quas qui unde occaecati.,343,blue,12,4
Rest room,EKEBOL,et possimus sapiente,At iure sint quo at.,215,Bomstad black,4,1
Kitchen,DELAKTIG,officiis qui doloribus,Sint dolores et perspiciatis doloribus quis earum.,136,pink,1,3
Living room,EKEBOL,deleniti alias tempore,Fugit praesentium neque omnis quia non aut vel odio nulla.,188,white,9,1
Rest room,FRIHETEN,iure cupiditate nesciunt,Quisquam dolore qui tenetur error laboriosam omnis dolorem placeat.,535,Hyllie dark gray,6,1
Living room,FRIHETEN,distinctio voluptatem amet,Sit quia aut.,450,navy,15,5
Kitchen,DELAKTIG,ex quo laboriosam,Aliquid velit vitae facilis adipisci ipsum.,351,Skiftebo blue,16,4
Kitchen,DELAKTIG,voluptas iusto et,Placeat cupiditate facilis delectus nulla qui aliquid optio esse.,67,blue,27,1
Rest room,BALKARP,nesciunt qui minima,Ut et cumque delectus et et at.,365,pink,25,4
Lobby,DELAKTIG,veniam aut sit,Molestiae est ratione quidem officiis.,190,white,18,4
Bed room,EKEBOL,officia quaerat aperiam,Aut sit maiores nam.,473,Bomstad black,21,5
Rest room,EKEBOL,cupiditate necessitatibus voluptatibus,Nemo ut eveniet ut.,14,Bomstad black,29,5
Kitchen,FRIHETEN,aperiam et consequuntur,Consequatur recusandae recusandae.,440,Skiftebo blue,24,1
Kitchen,DELAKTIG,inventore ut vero,Aut exercitationem velit quam.,592,navy,10,1
Living room,EKEBOL,dolor velit non,Aut veritatis facilis voluptatem inventore aperiam sed in similique quia.,248,Skiftebo dark gray,16,5
Bed room,BRATHULT,dolores quae maiores,Hic vel odit architecto sapiente blanditiis minus iste.,594,navy,15,1
Bed room,EKEBOL,placeat eos laboriosam,Doloribus aspernatur assumenda maiores nobis expedita.,510,original red,16,3
Living room,FRIHETEN,quibusdam quis ut,Natus cupiditate ducimus sit fugiat magnam ut.,374,navy,18,4
Living room,DELAKTIG,distinctio assumenda in,Provident dolore dicta laudantium quae quod sint.,100,navy,20,3
Lobby,BRATHULT,aut et sed,Vitae commodi libero impedit.,443,gray,25,2
Kitchen,FRIHETEN,ipsum officiis quaerat,Sapiente rem at quasi qui esse vel.,308,Skiftebo dark gray,18,2
Kitchen,BALKARP,sit consequatur sit,Ea accusamus dolorum veritatis.,207,white,4,2
Living room,DELAKTIG,porro molestias est,Est nemo tenetur incidunt enim tenetur.,86,black,9,3
Rest room,BRATHULT,reiciendis blanditiis corporis,Commodi autem minus nesciunt ullam.,93,pink,6,1
Kitchen,FRIHETEN,et voluptatum sint,Tempora sed perferendis cupiditate doloribus.,580,pink,3,4
Lobby,BALKARP,enim dolorem delectus,Officia aliquid provident sit quia beatae iusto enim quisquam.,173,red,14,1
Rest room,BALKARP,quo vitae qui,Ea dolor rerum necessitatibus cum labore quia sequi.,239,Hyllie beige,30,2
Bed room,FRIHETEN,ad nemo quam,Ut nostrum accusamus neque ullam.,305,gray,6,1
Bed room,BALKARP,nemo et est,Autem omnis ut praesentium ab ad corrupti dicta cupiditate aliquid.,162,Hyllie dark gray,11,4
Rest room,EKEBOL,enim molestiae consequuntur,Id qui occaecati illum libero.,507,Hyllie dark gray,8,1
Lobby,DELAKTIG,eos necessitatibus aut,Qui aut eius modi hic distinctio vel.,530,gray,18,5
Bed room,BALKARP,consectetur autem quos,Voluptatem dolor error at.,629,black,28,2
Bed room,BRATHULT,aut voluptas consequatur,Odit quis voluptas ea quam explicabo delectus alias.,129,Hyllie dark gray,16,4
Rest room,BALKARP,molestias quo repellendus,Aliquid eius saepe accusamus odio doloribus inventore laboriosam laudantium odit.,618,Bomstad black,15,3
Rest room,BRATHULT,illo facilis qui,Explicabo dicta ut incidunt.,444,Skiftebo blue,23,2
Living room,FRIHETEN,et explicabo sed,Voluptas exercitationem architecto voluptatem asperiores minus est ut autem.,267,Skiftebo blue,13,2
Rest room,DELAKTIG,vero laudantium quia,Consequatur qui officiis et atque.,266,Hyllie dark gray,27,1
Rest room,DELAKTIG,cupiditate impedit fugiat,Facilis similique molestias voluptates fugiat dolor ut illum.,119,black,17,1
Bed room,BRATHULT,fuga ratione qui,Praesentium ut culpa consectetur qui molestias iure enim.,450,Hyllie beige,10,3
Lobby,EKEBOL,voluptatem aperiam repellat,Dolore quia velit et sed ducimus saepe temporibus voluptatem.,648,Hyllie dark gray,3,4
Bed room,FRIHETEN,porro maxime molestiae,Quia odit magni necessitatibus in.,104,Skiftebo blue,17,5
Kitchen,DELAKTIG,aut consequatur rerum,Fugit voluptatem nihil dolorum.,380,original red,3,5
Living room,EKEBOL,eius atque vero,Sequi labore officiis dignissimos mollitia ea consequatur.,563,blue,9,1
Lobby,FRIHETEN,quos amet totam,Dolor ut provident rerum libero veritatis.,156,Skiftebo dark gray,15,2
Lobby,BRATHULT,qui quos impedit,Et impedit animi.,173,blue,15,1
Living room,DELAKTIG,aspernatur consectetur accusamus,Est voluptate sit suscipit.,644,Bomstad black,16,4
Kitchen,BALKARP,autem ab cumque,Rerum minima ea in.,411,Bomstad black,7,2
Lobby,FRIHETEN,natus neque dolorum,Consequatur rerum culpa voluptas sit.,647,navy,19,2
Bed room,BRATHULT,nulla nobis architecto,Nemo nobis beatae ex adipisci sit.,647,white,21,4
Lobby,EKEBOL,aut necessitatibus officia,Numquam suscipit illo.,640,Hyllie dark gray,8,5
Lobby,BALKARP,modi ipsa dolor,Rem nostrum et cumque ut.,39,Bomstad black,13,4
Bed room,DELAKTIG,quo et placeat,Non sunt aspernatur eum adipisci.,523,navy,14,1
Living room,DELAKTIG,quo velit explicabo,Distinctio non porro consectetur non.,97,Hyllie beige,19,4
Bed room,EKEBOL,voluptate quasi esse,Molestiae optio aliquid dignissimos ut sunt.,387,Bomstad black,14,5
Rest room,BRATHULT,autem alias nihil,Maiores omnis voluptatum enim voluptas omnis nobis.,648,navy,3,5
Kitchen,DELAKTIG,ducimus maxime vel,Quis at qui ipsum voluptatem voluptas veniam nostrum saepe culpa.,531,Skiftebo blue,22,3
Kitchen,FRIHETEN,minus illum nobis,Ut distinctio accusantium voluptate sapiente nihil blanditiis.,168,blue,1,1
Kitchen,DELAKTIG,ducimus vitae doloremque,Dolorem accusamus deserunt eum.,425,original red,4,1
Living room,FRIHETEN,enim voluptatem accusantium,Rerum alias ratione similique quis velit.,78,pink,23,5
Kitchen,BALKARP,nostrum voluptas eum,Eveniet numquam accusantium neque totam eos ipsam.,285,Hyllie dark gray,11,1
Lobby,EKEBOL,et ipsa eius,Sunt qui facilis molestiae est ratione cum nihil in quis.,122,Hyllie beige,15,4
Bed room,EKEBOL,beatae aliquam qui,Magni et accusantium commodi possimus ut consequatur.,520,gray,9,1
Bed room,BALKARP,et facilis aut,Rem dignissimos vel expedita aut.,91,original red,6,3
Kitchen,BRATHULT,nam accusantium ab,Eius commodi ipsum aperiam ut dignissimos.,297,navy,6,3
Living room,FRIHETEN,architecto enim consequatur,Eveniet temporibus voluptas.,63,Skiftebo dark gray,13,1
Rest room,DELAKTIG,perspiciatis nemo non,Minus inventore voluptas nesciunt tenetur laborum sit.,621,Hyllie beige,15,3
Lobby,BRATHULT,non atque quaerat,Asperiores nihil delectus.,480,white,19,3
Rest room,DELAKTIG,culpa delectus voluptatem,Voluptatem quia praesentium vitae.,596,Bomstad black,3,1
Living room,DELAKTIG,quia quibusdam dolorem,Quisquam perspiciatis in animi et consequatur tempore rerum veritatis.,565,red,14,2
Rest room,DELAKTIG,sit commodi consequatur,Ipsam maiores velit molestiae id blanditiis quis.,584,original red,16,1
Bed room,BALKARP,distinctio et animi,Aut et autem sint ipsa quia accusamus debitis rerum modi.,335,original red,23,3
Kitchen,BRATHULT,omnis qui enim,Sapiente qui explicabo consectetur optio vero vitae voluptatum.,258,original red,5,5
Living room,DELAKTIG,voluptates vel sapiente,Exercitationem rerum autem nobis deserunt nobis illum veniam nobis.,565,black,1,4
Bed room,FRIHETEN,maxime dolor assumenda,Inventore deserunt nihil excepturi qui quia libero quae.,78,white,24,4
Lobby,FRIHETEN,consequuntur voluptatum et,Autem quo aliquam.,261,black,24,4
Rest room,BRATHULT,sapiente voluptas ut,Facere ex ut voluptatum voluptas minima non qui eum quasi.,242,original red,15,5
Living room,DELAKTIG,non omnis dolorem,Nam natus delectus et est iste error et quo minima.,192,red,3,2
Kitchen,DELAKTIG,placeat non et,Quis id id quas repellat non in tempore itaque consequatur.,522,Hyllie dark gray,16,3
Rest room,EKEBOL,molestiae maxime minima,Dolorem fugit neque.,267,Skiftebo blue,28,2
Rest room,FRIHETEN,ab voluptas quod,Quos in nam qui itaque.,387,red,1,2
Bed room,BRATHULT,non quod quia,Doloremque dolorum error ut quas alias possimus.,249,white,12,4
Kitchen,EKEBOL,doloremque aliquid dolores,Excepturi dolorum qui explicabo id ut nobis distinctio.,211,Hyllie dark gray,27,5
Lobby,FRIHETEN,in rerum vel,Cum labore dolor natus laborum.,135,red,4,2
Living room,FRIHETEN,hic deserunt earum,Occaecati nihil qui iste est accusantium unde corporis.,567,blue,26,2
Kitchen,BRATHULT,rem est necessitatibus,Quis voluptatem et amet.,26,gray,30,2
Living room,DELAKTIG,ratione dolor voluptatem,In et consequatur voluptas earum.,250,blue,4,4
Bed room,FRIHETEN,sit libero voluptas,Quasi earum quidem deleniti.,394,red,13,3
Lobby,BALKARP,officiis neque fugiat,A dolores temporibus itaque cum officiis.,445,Hyllie dark gray,8,2
Living room,BALKARP,quis animi consectetur,Veniam est cupiditate quaerat est dolorem.,185,white,12,4
Rest room,FRIHETEN,est nulla saepe,Rerum tenetur reprehenderit ut sed.,361,original red,23,4
Rest room,BALKARP,qui molestiae accusantium,Laboriosam repudiandae repellat adipisci nam consequatur quasi autem quis.,584,Hyllie beige,8,4
Bed room,DELAKTIG,sed aut quas,Dolores voluptatem eius vero ea necessitatibus.,143,Skiftebo dark gray,7,1
Living room,BRATHULT,voluptatem omnis ipsa,Dicta accusamus vitae in accusantium maxime reprehenderit numquam.,368,Hyllie beige,4,2
Lobby,EKEBOL,delectus neque aut,Ab perspiciatis sapiente.,648,Skiftebo dark gray,10,1
Lobby,BRATHULT,in et voluptate,Doloribus ullam est eaque.,602,navy,22,3
Living room,BRATHULT,quidem tenetur adipisci,Impedit tenetur dicta esse non est voluptas voluptas.,248,original red,21,3
Bed room,DELAKTIG,omnis rerum autem,Inventore omnis debitis est quisquam aut.,501,Skiftebo blue,27,4
Living room,FRIHETEN,excepturi aut excepturi,Ut ut modi aliquam delectus quia culpa aut sit eos.,368,red,4,3
Bed room,FRIHETEN,iure odit et,Sapiente quia eos consequatur porro eius.,534,red,2,3
Kitchen,BALKARP,hic qui doloribus,Id eveniet et.,661,black,28,2
Bed room,BALKARP,odio fugit necessitatibus,Ex tenetur debitis consequatur fugiat molestias voluptas.,135,Hyllie dark gray,14,4
Bed room,EKEBOL,sint illo recusandae,Placeat culpa quasi exercitationem ipsa quo impedit voluptatibus at.,439,gray,30,2
Bed room,DELAKTIG,cumque enim iusto,Qui aspernatur ut omnis voluptates in placeat quia dolores laudantium.,417,red,9,4
Lobby,FRIHETEN,expedita qui non,Dolore ipsam quia ratione ullam non placeat totam.,404,blue,27,5
Rest room,BRATHULT,possimus vero iste,A quia dolor ab totam incidunt qui inventore tempora iste.,518,Hyllie dark gray,22,2
Kitchen,BRATHULT,quidem quibusdam suscipit,Voluptas dignissimos voluptates in in quod tenetur.,28,original red,19,5
Kitchen,FRIHETEN,nostrum iusto ut,Consequatur aut sint sed et sunt et accusantium optio.,84,Skiftebo dark gray,21,1
Lobby,BRATHULT,dolorum provident repellendus,Neque quas et vel facilis aut aliquam.,383,red,24,4
Rest room,BRATHULT,quas soluta voluptas,Voluptas sit incidunt saepe quia.,426,Hyllie beige,21,5
Living room,FRIHETEN,id praesentium blanditiis,Culpa ratione soluta a iure.,435,Bomstad black,28,2
Rest room,BRATHULT,aut rerum id,Animi quibusdam quis debitis illo.,570,Skiftebo blue,3,1
Lobby,EKEBOL,et sunt ut,Et hic consectetur sunt aspernatur hic laborum.,420,pink,28,5
Bed room,FRIHETEN,quisquam labore odit,Quia nostrum non aperiam enim explicabo expedita et quibusdam.,250,Hyllie beige,16,3
Lobby,BALKARP,nulla ut sunt,Voluptas at deleniti harum porro odit aut.,245,blue,6,2
Bed room,BALKARP,sapiente aut impedit,Ea magni repellendus et cum illum ab quis.,256,gray,3,5
Kitchen,DELAKTIG,error dolores et,Mollitia quo repellendus dolorum voluptatem.,571,gray,19,2
Rest room,BALKARP,consequatur molestiae molestiae,Quia porro soluta quo doloribus numquam.,349,gray,4,2
Living room,DELAKTIG,odio reiciendis optio,Sint fugit esse quos.,436,red,19,2
Rest room,DELAKTIG,cumque eius voluptatem,Architecto natus ea.,551,navy,17,4
Rest room,BRATHULT,dolorem quo veritatis,Voluptatibus sunt et illum.,287,navy,5,5
Lobby,BRATHULT,rerum inventore consequatur,Consequatur quo ratione ut dignissimos blanditiis dolorem et nemo.,486,Hyllie dark gray,26,4
Bed room,EKEBOL,error eos rerum,Rerum sint quia corporis ut atque.,358,Hyllie beige,18,5
Rest room,DELAKTIG,sapiente eos mollitia,Et alias nihil iure reiciendis voluptatem enim totam et impedit.,390,black,12,4
Rest room,FRIHETEN,aut qui perferendis,Id non omnis omnis mollitia doloribus veniam voluptatem aut facere.,95,Hyllie dark gray,16,5
Bed room,BALKARP,vel hic sequi,Reiciendis aperiam ut accusamus.,524,black,15,3
Bed room,EKEBOL,eligendi maxime saepe,Sequi nihil in voluptatem id pariatur et eius reprehenderit.,431,white,3,5
Kitchen,FRIHETEN,porro architecto eos,Repellendus quisquam id.,301,white,29,2
Lobby,BRATHULT,velit commodi et,Illo voluptas velit deleniti doloribus odio.,275,Skiftebo blue,3,3
Rest room,BRATHULT,modi enim eveniet,Pariatur nostrum aliquid nostrum qui voluptates dolorem.,179,gray,14,2
Rest room,BALKARP,tempora aut vel,Blanditiis ut minima minima velit veniam.,213,gray,23,4
Kitchen,BRATHULT,velit doloremque similique,Unde ullam eos consequatur.,141,gray,10,3
Bed room,FRIHETEN,maiores quo sapiente,Dignissimos voluptas et nemo provident explicabo ut assumenda sapiente.,225,original red,10,4
Bed room,BALKARP,enim iure cupiditate,Architecto est labore ullam eveniet ipsum harum.,430,Skiftebo blue,15,2
Bed room,EKEBOL,eos voluptas ipsam,Repellat voluptas alias quia molestias dolorem commodi consequatur tempore et.,633,pink,3,4
Bed room,BALKARP,eaque ut perferendis,Alias repellendus magnam blanditiis in similique.,200,Skiftebo dark gray,16,2
Living room,EKEBOL,sunt aliquid voluptas,Quibusdam veniam temporibus velit accusamus et neque et accusantium.,386,Skiftebo blue,26,5
Rest room,FRIHETEN,sapiente inventore sit,Nesciunt rerum totam eos labore adipisci consequatur.,302,Skiftebo blue,6,3
Living room,BALKARP,repellat sint tempora,Iusto possimus aut et officia consequatur reprehenderit eum et et.,417,Hyllie beige,30,5
Rest room,DELAKTIG,porro quibusdam quibusdam,Repellendus dicta at velit officiis.,318,blue,3,5
Bed room,BRATHULT,quae aspernatur omnis,Consequuntur corporis nam.,569,Hyllie dark gray,30,1
Kitchen,EKEBOL,rerum modi temporibus,Eius velit placeat.,172,Bomstad black,16,3
Bed room,EKEBOL,sed recusandae maxime,Voluptatem eum consequatur natus saepe.,131,Skiftebo blue,2,1
